 * Serving Flask app 'Backend_app'
 * Debug mode: off
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5001
 * Running on http://10.0.4.122:5001
Press CTRL+C to quit
127.0.0.1 - - [22/Sep/2026 23:25:21] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:22] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:22] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:23] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:23] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:24] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:24] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:25] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:25] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:26] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:26] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:27] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:27] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:28] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:28] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:29] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:29] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:30] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:30] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:31] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:31] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:32] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:32] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:33] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:33] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:34] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:34] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:35] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:35] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:36] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:36] "GET /actual HTTP/1.0" 200 -
